candidate,check_sat_calls,unknown,sat,unsat
all,23810,706,17519,5492
cbqi,26150,3552,16693,5904
cbqi-cegqi,26150,3552,16693,5904
cegqi,26176,3585,16693,5897
em,26423,3430,16693,6287
em-cbqi,26452,3450,16693,6296
em-cegqi,26425,3432,16693,6287
em-fmf,26573,3410,16849,6305
em-fmf-fun,26168,1067,18940,6145
em-mbqi,23504,1092,17134,5248
fmf,25650,3002,16855,5787
fmf-cbqi,25586,2950,16855,5775
fmf-cebqi,25611,2978,16855,5772
fmf-fun,26229,1234,18898,6082
fmf-fun-cbqi,26304,1290,18894,6105
fmf-fun-cegqi,26229,1234,18898,6082
fmf-fun-mbqi,23816,725,17461,5495
fmf-mbqi,22410,515,16967,4891
mbqi,22553,645,16998,4875
mbqi-cbqi,22540,642,16987,4876
mbqi-cegqi,22536,630,16997,4874
no-em,23864,707,17480,5493
no-qi,26176,3585,16693,5897
silicon,31361,23588,0,7772
