candidate,success,timeout,regressions,improvements
em-fmf,161,11,2,3
em,157,15,2,3
em-cbqi,157,15,2,3
em-cegqi,157,15,2,3
em-fmf-fun,155,18,1,2
em-mbqi,154,11,11,0
all,151,21,3,1
fmf-fun-cbqi,148,13,13,3
cbqi,148,1,27,1
no-qi,148,1,27,1
cegqi,148,1,27,1
cbqi-cegqi,148,1,27,1
fmf-fun,147,14,13,3
fmf-fun-cegqi,147,14,13,3
fmf-mbqi,147,14,15,0
mbqi,147,15,14,0
mbqi-cbqi,147,15,14,0
mbqi-cegqi,147,15,14,0
no-em,146,25,4,1
fmf,145,5,26,0
fmf-cebqi,145,5,26,0
fmf-cbqi,145,5,26,0
fmf-fun-mbqi,142,30,3,1
