candidate,file,iteration,time,result
all,datatypes/adt_as_fields_1.vpr,1,5.94,success
cbqi,datatypes/adt_as_fields_1.vpr,1,5.66,success
cbqi-cegqi,datatypes/adt_as_fields_1.vpr,1,5.68,success
cegqi,datatypes/adt_as_fields_1.vpr,1,5.90,success
em,datatypes/adt_as_fields_1.vpr,1,5.67,success
em-cbqi,datatypes/adt_as_fields_1.vpr,1,5.31,success
em-cegqi,datatypes/adt_as_fields_1.vpr,1,5.27,success
em-fmf,datatypes/adt_as_fields_1.vpr,1,5.26,success
em-fmf-fun,datatypes/adt_as_fields_1.vpr,1,5.57,success
em-mbqi,datatypes/adt_as_fields_1.vpr,1,6.13,success
fmf,datatypes/adt_as_fields_1.vpr,1,6.36,success
fmf-cbqi,datatypes/adt_as_fields_1.vpr,1,5.38,success
fmf-cebqi,datatypes/adt_as_fields_1.vpr,1,6.38,success
fmf-fun,datatypes/adt_as_fields_1.vpr,1,6.22,success
fmf-fun-cbqi,datatypes/adt_as_fields_1.vpr,1,6.07,success
fmf-fun-cegqi,datatypes/adt_as_fields_1.vpr,1,5.60,success
fmf-fun-mbqi,datatypes/adt_as_fields_1.vpr,1,5.80,success
fmf-mbqi,datatypes/adt_as_fields_1.vpr,1,6.05,success
mbqi,datatypes/adt_as_fields_1.vpr,1,6.42,success
mbqi-cbqi,datatypes/adt_as_fields_1.vpr,1,5.88,success
mbqi-cegqi,datatypes/adt_as_fields_1.vpr,1,5.86,success
no-em,datatypes/adt_as_fields_1.vpr,1,5.76,success
no-qi,datatypes/adt_as_fields_1.vpr,1,5.76,success
silicon,datatypes/adt_as_fields_1.vpr,1,7.88,success
all,datatypes/bdd.vpr,1,N/A,timeout
cbqi,datatypes/bdd.vpr,1,18.41,failure
cbqi-cegqi,datatypes/bdd.vpr,1,18.76,failure
cegqi,datatypes/bdd.vpr,1,18.10,failure
em,datatypes/bdd.vpr,1,N/A,timeout
em-cbqi,datatypes/bdd.vpr,1,N/A,timeout
em-cegqi,datatypes/bdd.vpr,1,N/A,timeout
em-fmf,datatypes/bdd.vpr,1,N/A,timeout
em-fmf-fun,datatypes/bdd.vpr,1,N/A,timeout
em-mbqi,datatypes/bdd.vpr,1,N/A,timeout
fmf,datatypes/bdd.vpr,1,29.25,failure
fmf-cbqi,datatypes/bdd.vpr,1,29.15,failure
fmf-cebqi,datatypes/bdd.vpr,1,28.25,failure
fmf-fun,datatypes/bdd.vpr,1,N/A,timeout
fmf-fun-cbqi,datatypes/bdd.vpr,1,N/A,timeout
fmf-fun-cegqi,datatypes/bdd.vpr,1,N/A,timeout
fmf-fun-mbqi,datatypes/bdd.vpr,1,N/A,failure
fmf-mbqi,datatypes/bdd.vpr,1,N/A,timeout
mbqi,datatypes/bdd.vpr,1,N/A,timeout
mbqi-cbqi,datatypes/bdd.vpr,1,N/A,timeout
mbqi-cegqi,datatypes/bdd.vpr,1,N/A,timeout
no-em,datatypes/bdd.vpr,1,N/A,failure
no-qi,datatypes/bdd.vpr,1,18.06,failure
silicon,datatypes/bdd.vpr,1,15.20,success
all,datatypes/destructors_1.vpr,1,5.59,success
cbqi,datatypes/destructors_1.vpr,1,5.67,success
cbqi-cegqi,datatypes/destructors_1.vpr,1,5.64,success
cegqi,datatypes/destructors_1.vpr,1,5.40,success
em,datatypes/destructors_1.vpr,1,5.49,success
em-cbqi,datatypes/destructors_1.vpr,1,5.02,success
em-cegqi,datatypes/destructors_1.vpr,1,5.29,success
em-fmf,datatypes/destructors_1.vpr,1,5.73,success
em-fmf-fun,datatypes/destructors_1.vpr,1,5.79,success
em-mbqi,datatypes/destructors_1.vpr,1,5.85,success
fmf,datatypes/destructors_1.vpr,1,5.09,success
fmf-cbqi,datatypes/destructors_1.vpr,1,5.53,success
fmf-cebqi,datatypes/destructors_1.vpr,1,5.53,success
fmf-fun,datatypes/destructors_1.vpr,1,5.57,success
fmf-fun-cbqi,datatypes/destructors_1.vpr,1,5.65,success
fmf-fun-cegqi,datatypes/destructors_1.vpr,1,5.45,success
fmf-fun-mbqi,datatypes/destructors_1.vpr,1,5.37,success
fmf-mbqi,datatypes/destructors_1.vpr,1,5.40,success
mbqi,datatypes/destructors_1.vpr,1,5.61,success
mbqi-cbqi,datatypes/destructors_1.vpr,1,5.84,success
mbqi-cegqi,datatypes/destructors_1.vpr,1,5.46,success
no-em,datatypes/destructors_1.vpr,1,5.03,success
no-qi,datatypes/destructors_1.vpr,1,5.16,success
silicon,datatypes/destructors_1.vpr,1,5.65,success
all,datatypes/destructors_2.vpr,1,5.00,success
cbqi,datatypes/destructors_2.vpr,1,4.86,success
cbqi-cegqi,datatypes/destructors_2.vpr,1,5.54,success
cegqi,datatypes/destructors_2.vpr,1,4.96,success
em,datatypes/destructors_2.vpr,1,5.61,success
em-cbqi,datatypes/destructors_2.vpr,1,5.15,success
em-cegqi,datatypes/destructors_2.vpr,1,4.93,success
em-fmf,datatypes/destructors_2.vpr,1,4.94,success
em-fmf-fun,datatypes/destructors_2.vpr,1,4.88,success
em-mbqi,datatypes/destructors_2.vpr,1,5.36,success
fmf,datatypes/destructors_2.vpr,1,5.18,success
