candidate,file,iteration,time,result
em-fmf,datatypes/adt_as_fields_1.vpr,1,9.98,success
em-fmf,datatypes/adt_as_fields_1.vpr,2,7.22,success
em-fmf,datatypes/adt_as_fields_1.vpr,3,7.50,success
em-fmf,datatypes/adt_as_fields_1.vpr,4,6.67,success
em-fmf,datatypes/adt_as_fields_1.vpr,5,6.38,success
silicon,datatypes/adt_as_fields_1.vpr,1,8.81,success
silicon,datatypes/adt_as_fields_1.vpr,2,7.48,success
silicon,datatypes/adt_as_fields_1.vpr,3,7.49,success
silicon,datatypes/adt_as_fields_1.vpr,4,6.00,success
silicon,datatypes/adt_as_fields_1.vpr,5,6.14,success
em-fmf,datatypes/destructors_1.vpr,1,6.13,success
em-fmf,datatypes/destructors_1.vpr,2,6.98,success
em-fmf,datatypes/destructors_1.vpr,3,7.14,success
em-fmf,datatypes/destructors_1.vpr,4,6.68,success
em-fmf,datatypes/destructors_1.vpr,5,7.42,success
silicon,datatypes/destructors_1.vpr,1,8.37,success
silicon,datatypes/destructors_1.vpr,2,8.04,success
silicon,datatypes/destructors_1.vpr,3,8.24,success
silicon,datatypes/destructors_1.vpr,4,6.79,success
silicon,datatypes/destructors_1.vpr,5,7.11,success
em-fmf,datatypes/destructors_2.vpr,1,6.70,success
em-fmf,datatypes/destructors_2.vpr,2,6.98,success
em-fmf,datatypes/destructors_2.vpr,3,6.69,success
em-fmf,datatypes/destructors_2.vpr,4,6.52,success
em-fmf,datatypes/destructors_2.vpr,5,6.59,success
silicon,datatypes/destructors_2.vpr,1,6.92,success
silicon,datatypes/destructors_2.vpr,2,6.47,success
silicon,datatypes/destructors_2.vpr,3,6.10,success
silicon,datatypes/destructors_2.vpr,4,6.04,success
silicon,datatypes/destructors_2.vpr,5,6.68,success
em-fmf,datatypes/destructors_5.vpr,1,6.31,failure
em-fmf,datatypes/destructors_5.vpr,2,5.81,failure
em-fmf,datatypes/destructors_5.vpr,3,5.72,failure
em-fmf,datatypes/destructors_5.vpr,4,6.14,failure
em-fmf,datatypes/destructors_5.vpr,5,6.26,failure
silicon,datatypes/destructors_5.vpr,1,6.23,failure
silicon,datatypes/destructors_5.vpr,2,7.06,failure
silicon,datatypes/destructors_5.vpr,3,7.61,failure
silicon,datatypes/destructors_5.vpr,4,9.20,failure
silicon,datatypes/destructors_5.vpr,5,8.58,failure
em-fmf,datatypes/discriminators_1.vpr,1,7.40,success
em-fmf,datatypes/discriminators_1.vpr,2,7.24,success
em-fmf,datatypes/discriminators_1.vpr,3,7.12,success
em-fmf,datatypes/discriminators_1.vpr,4,7.41,success
em-fmf,datatypes/discriminators_1.vpr,5,6.70,success
silicon,datatypes/discriminators_1.vpr,1,6.14,success
silicon,datatypes/discriminators_1.vpr,2,6.70,success
silicon,datatypes/discriminators_1.vpr,3,5.82,success
silicon,datatypes/discriminators_1.vpr,4,6.38,success
silicon,datatypes/discriminators_1.vpr,5,5.66,success
em-fmf,datatypes/discriminators_3.vpr,1,5.34,success
em-fmf,datatypes/discriminators_3.vpr,2,5.59,success
em-fmf,datatypes/discriminators_3.vpr,3,5.82,success
em-fmf,datatypes/discriminators_3.vpr,4,7.50,success
em-fmf,datatypes/discriminators_3.vpr,5,5.83,success
silicon,datatypes/discriminators_3.vpr,1,5.97,success
silicon,datatypes/discriminators_3.vpr,2,6.22,success
silicon,datatypes/discriminators_3.vpr,3,5.98,success
silicon,datatypes/discriminators_3.vpr,4,6.84,success
silicon,datatypes/discriminators_3.vpr,5,6.63,success
em-fmf,datatypes/encoding_2.vpr,1,6.14,success
em-fmf,datatypes/encoding_2.vpr,2,7.05,success
em-fmf,datatypes/encoding_2.vpr,3,7.17,success
em-fmf,datatypes/encoding_2.vpr,4,6.28,success
em-fmf,datatypes/encoding_2.vpr,5,5.69,success
silicon,datatypes/encoding_2.vpr,1,7.45,success
silicon,datatypes/encoding_2.vpr,2,8.13,success
silicon,datatypes/encoding_2.vpr,3,7.91,success
silicon,datatypes/encoding_2.vpr,4,7.41,success
silicon,datatypes/encoding_2.vpr,5,8.05,success
em-fmf,datatypes/equality_1.vpr,1,7.61,failure
em-fmf,datatypes/equality_1.vpr,2,6.51,failure
em-fmf,datatypes/equality_1.vpr,3,5.79,failure
em-fmf,datatypes/equality_1.vpr,4,5.02,failure
em-fmf,datatypes/equality_1.vpr,5,6.01,failure
silicon,datatypes/equality_1.vpr,1,7.03,failure
silicon,datatypes/equality_1.vpr,2,6.80,failure
silicon,datatypes/equality_1.vpr,3,7.02,failure
silicon,datatypes/equality_1.vpr,4,6.70,failure
silicon,datatypes/equality_1.vpr,5,6.41,failure
em-fmf,datatypes/equality_2.vpr,1,6.09,failure
em-fmf,datatypes/equality_2.vpr,2,6.56,failure
em-fmf,datatypes/equality_2.vpr,3,6.31,failure
em-fmf,datatypes/equality_2.vpr,4,6.55,failure
em-fmf,datatypes/equality_2.vpr,5,8.57,failure
silicon,datatypes/equality_2.vpr,1,8.59,failure
silicon,datatypes/equality_2.vpr,2,8.13,failure
silicon,datatypes/equality_2.vpr,3,6.93,failure
silicon,datatypes/equality_2.vpr,4,6.92,failure
silicon,datatypes/equality_2.vpr,5,7.91,failure
em-fmf,datatypes/example_1.vpr,1,16.67,success
em-fmf,datatypes/example_1.vpr,2,12.74,success
em-fmf,datatypes/example_1.vpr,3,11.27,success
em-fmf,datatypes/example_1.vpr,4,11.05,success
em-fmf,datatypes/example_1.vpr,5,11.97,success
silicon,datatypes/example_1.vpr,1,7.13,success
silicon,datatypes/example_1.vpr,2,6.93,success
silicon,datatypes/example_1.vpr,3,6.88,success
silicon,datatypes/example_1.vpr,4,8.18,success
silicon,datatypes/example_1.vpr,5,7.86,success
em-fmf,datatypes/example_3.vpr,1,18.65,success
em-fmf,datatypes/example_3.vpr,2,17.91,success
em-fmf,datatypes/example_3.vpr,3,17.88,success
em-fmf,datatypes/example_3.vpr,4,17.98,success
em-fmf,datatypes/example_3.vpr,5,18.85,success
silicon,datatypes/example_3.vpr,1,8.00,success
silicon,datatypes/example_3.vpr,2,7.55,success
silicon,datatypes/example_3.vpr,3,8.50,success
silicon,datatypes/example_3.vpr,4,10.30,success
silicon,datatypes/example_3.vpr,5,9.46,success
em-fmf,datatypes/postconditions.vpr,1,7.41,failure
em-fmf,datatypes/postconditions.vpr,2,6.98,failure
em-fmf,datatypes/postconditions.vpr,3,6.77,failure
em-fmf,datatypes/postconditions.vpr,4,7.94,failure
em-fmf,datatypes/postconditions.vpr,5,7.79,failure
silicon,datatypes/postconditions.vpr,1,7.84,failure
silicon,datatypes/postconditions.vpr,2,8.09,failure
silicon,datatypes/postconditions.vpr,3,8.71,failure
silicon,datatypes/postconditions.vpr,4,7.94,failure
silicon,datatypes/postconditions.vpr,5,8.34,failure
em-fmf,datatypes/soundness_1.vpr,1,7.18,failure
em-fmf,datatypes/soundness_1.vpr,2,7.73,failure
em-fmf,datatypes/soundness_1.vpr,3,7.10,failure
em-fmf,datatypes/soundness_1.vpr,4,7.42,failure
em-fmf,datatypes/soundness_1.vpr,5,6.66,failure
silicon,datatypes/soundness_1.vpr,1,8.07,failure
silicon,datatypes/soundness_1.vpr,2,7.80,failure
silicon,datatypes/soundness_1.vpr,3,7.55,failure
silicon,datatypes/soundness_1.vpr,4,8.23,failure
silicon,datatypes/soundness_1.vpr,5,7.02,failure
em-fmf,datatypes/type_ascriptions_1.vpr,1,6.54,success
em-fmf,datatypes/type_ascriptions_1.vpr,2,6.34,success
em-fmf,datatypes/type_ascriptions_1.vpr,3,5.94,success
em-fmf,datatypes/type_ascriptions_1.vpr,4,6.02,success
em-fmf,datatypes/type_ascriptions_1.vpr,5,5.52,success
silicon,datatypes/type_ascriptions_1.vpr,1,6.15,success
silicon,datatypes/type_ascriptions_1.vpr,2,6.46,success
silicon,datatypes/type_ascriptions_1.vpr,3,5.90,success
silicon,datatypes/type_ascriptions_1.vpr,4,5.90,success
silicon,datatypes/type_ascriptions_1.vpr,5,5.98,success
em-fmf,datatypes/variable_declarations_1.vpr,1,6.36,success
em-fmf,datatypes/variable_declarations_1.vpr,2,5.64,success
em-fmf,datatypes/variable_declarations_1.vpr,3,6.68,success
em-fmf,datatypes/variable_declarations_1.vpr,4,7.33,success
em-fmf,datatypes/variable_declarations_1.vpr,5,7.34,success
silicon,datatypes/variable_declarations_1.vpr,1,8.82,success
silicon,datatypes/variable_declarations_1.vpr,2,8.58,success
silicon,datatypes/variable_declarations_1.vpr,3,7.42,success
silicon,datatypes/variable_declarations_1.vpr,4,8.78,success
silicon,datatypes/variable_declarations_1.vpr,5,7.78,success
em-fmf,functions/binary_tree_algorithms.vpr,1,13.08,success
em-fmf,functions/binary_tree_algorithms.vpr,2,13.73,success
em-fmf,functions/binary_tree_algorithms.vpr,3,12.86,success
em-fmf,functions/binary_tree_algorithms.vpr,4,12.27,success
em-fmf,functions/binary_tree_algorithms.vpr,5,12.85,success
silicon,functions/binary_tree_algorithms.vpr,1,7.42,failure
silicon,functions/binary_tree_algorithms.vpr,2,6.89,failure
silicon,functions/binary_tree_algorithms.vpr,3,7.47,failure
silicon,functions/binary_tree_algorithms.vpr,4,7.54,failure
silicon,functions/binary_tree_algorithms.vpr,5,7.67,failure
em-fmf,functions/data_structures.vpr,1,26.81,failure
em-fmf,functions/data_structures.vpr,2,27.56,failure
em-fmf,functions/data_structures.vpr,3,27.08,failure
em-fmf,functions/data_structures.vpr,4,26.67,failure
em-fmf,functions/data_structures.vpr,5,29.49,failure
silicon,functions/data_structures.vpr,1,14.55,failure
silicon,functions/data_structures.vpr,2,12.77,failure
silicon,functions/data_structures.vpr,3,13.26,failure
silicon,functions/data_structures.vpr,4,13.77,failure
silicon,functions/data_structures.vpr,5,12.96,failure
em-fmf,functions/graph_algorithms.vpr,1,32.19,failure
em-fmf,functions/graph_algorithms.vpr,2,28.47,failure
em-fmf,functions/graph_algorithms.vpr,3,24.06,failure
em-fmf,functions/graph_algorithms.vpr,4,24.75,failure
em-fmf,functions/graph_algorithms.vpr,5,30.07,failure
silicon,functions/graph_algorithms.vpr,1,10.41,failure
silicon,functions/graph_algorithms.vpr,2,10.98,failure
silicon,functions/graph_algorithms.vpr,3,9.88,failure
silicon,functions/graph_algorithms.vpr,4,8.58,failure
silicon,functions/graph_algorithms.vpr,5,8.09,failure
em-fmf,functions/list_algorithms.vpr,1,2.48,failure
em-fmf,functions/list_algorithms.vpr,2,2.46,failure
em-fmf,functions/list_algorithms.vpr,3,2.45,failure
em-fmf,functions/list_algorithms.vpr,4,3.03,failure
em-fmf,functions/list_algorithms.vpr,5,2.37,failure
silicon,functions/list_algorithms.vpr,1,2.59,failure
silicon,functions/list_algorithms.vpr,2,2.68,failure
silicon,functions/list_algorithms.vpr,3,2.55,failure
silicon,functions/list_algorithms.vpr,4,2.62,failure
silicon,functions/list_algorithms.vpr,5,2.54,failure
em-fmf,functions/mathematical_functions.vpr,1,10.01,failure
em-fmf,functions/mathematical_functions.vpr,2,10.92,failure
em-fmf,functions/mathematical_functions.vpr,3,11.21,failure
em-fmf,functions/mathematical_functions.vpr,4,11.42,failure
em-fmf,functions/mathematical_functions.vpr,5,11.91,failure
silicon,functions/mathematical_functions.vpr,1,7.44,failure
silicon,functions/mathematical_functions.vpr,2,7.04,failure
silicon,functions/mathematical_functions.vpr,3,6.95,failure
silicon,functions/mathematical_functions.vpr,4,7.09,failure
silicon,functions/mathematical_functions.vpr,5,6.87,failure
em-fmf,functions/number_theory.vpr,1,34.31,failure
em-fmf,functions/number_theory.vpr,2,35.81,failure
em-fmf,functions/number_theory.vpr,3,41.24,failure
em-fmf,functions/number_theory.vpr,4,43.89,failure
em-fmf,functions/number_theory.vpr,5,36.80,failure
silicon,functions/number_theory.vpr,1,N/A,timeout
silicon,functions/number_theory.vpr,2,N/A,timeout
silicon,functions/number_theory.vpr,3,N/A,timeout
silicon,functions/number_theory.vpr,4,N/A,timeout
silicon,functions/number_theory.vpr,5,N/A,timeout
em-fmf,functions/sequence_operations.vpr,1,43.28,failure
em-fmf,functions/sequence_operations.vpr,2,37.29,failure
em-fmf,functions/sequence_operations.vpr,3,39.12,failure
em-fmf,functions/sequence_operations.vpr,4,38.83,failure
em-fmf,functions/sequence_operations.vpr,5,40.93,failure
silicon,functions/sequence_operations.vpr,1,9.90,failure
silicon,functions/sequence_operations.vpr,2,9.21,failure
silicon,functions/sequence_operations.vpr,3,10.14,failure
silicon,functions/sequence_operations.vpr,4,10.25,failure
silicon,functions/sequence_operations.vpr,5,10.44,failure
em-fmf,sequences/0008.vpr,1,8.58,success
em-fmf,sequences/0008.vpr,2,8.14,success
em-fmf,sequences/0008.vpr,3,8.28,success
em-fmf,sequences/0008.vpr,4,7.79,success
em-fmf,sequences/0008.vpr,5,7.02,success
silicon,sequences/0008.vpr,1,8.85,success
silicon,sequences/0008.vpr,2,6.13,success
silicon,sequences/0008.vpr,3,6.54,success
silicon,sequences/0008.vpr,4,7.11,success
silicon,sequences/0008.vpr,5,7.99,success
em-fmf,sequences/0059.vpr,1,6.67,success
em-fmf,sequences/0059.vpr,2,6.14,success
em-fmf,sequences/0059.vpr,3,6.36,success
em-fmf,sequences/0059.vpr,4,6.63,success
em-fmf,sequences/0059.vpr,5,6.58,success
silicon,sequences/0059.vpr,1,6.79,success
silicon,sequences/0059.vpr,2,8.11,success
silicon,sequences/0059.vpr,3,9.26,success
silicon,sequences/0059.vpr,4,10.04,success
silicon,sequences/0059.vpr,5,8.77,success
em-fmf,sequences/0112.vpr,1,8.16,failure
em-fmf,sequences/0112.vpr,2,8.49,failure
em-fmf,sequences/0112.vpr,3,6.94,failure
em-fmf,sequences/0112.vpr,4,6.19,failure
em-fmf,sequences/0112.vpr,5,6.48,failure
silicon,sequences/0112.vpr,1,7.11,failure
silicon,sequences/0112.vpr,2,6.27,failure
silicon,sequences/0112.vpr,3,6.67,failure
silicon,sequences/0112.vpr,4,6.68,failure
silicon,sequences/0112.vpr,5,5.69,failure
em-fmf,sequences/0118.vpr,1,6.73,success
em-fmf,sequences/0118.vpr,2,6.91,success
em-fmf,sequences/0118.vpr,3,7.49,success
em-fmf,sequences/0118.vpr,4,7.72,success
em-fmf,sequences/0118.vpr,5,7.12,success
silicon,sequences/0118.vpr,1,6.30,failure
silicon,sequences/0118.vpr,2,6.52,failure
silicon,sequences/0118.vpr,3,6.49,failure
silicon,sequences/0118.vpr,4,8.05,failure
silicon,sequences/0118.vpr,5,6.88,failure
em-fmf,sequences/0146.vpr,1,6.07,success
em-fmf,sequences/0146.vpr,2,6.70,success
em-fmf,sequences/0146.vpr,3,6.32,success
em-fmf,sequences/0146.vpr,4,6.44,success
em-fmf,sequences/0146.vpr,5,7.31,success
silicon,sequences/0146.vpr,1,7.27,success
silicon,sequences/0146.vpr,2,7.13,success
silicon,sequences/0146.vpr,3,7.42,success
silicon,sequences/0146.vpr,4,6.66,success
silicon,sequences/0146.vpr,5,6.81,success
em-fmf,sequences/0286.vpr,1,17.59,failure
em-fmf,sequences/0286.vpr,2,19.43,failure
em-fmf,sequences/0286.vpr,3,21.53,failure
em-fmf,sequences/0286.vpr,4,19.22,failure
em-fmf,sequences/0286.vpr,5,15.57,failure
silicon,sequences/0286.vpr,1,9.00,failure
silicon,sequences/0286.vpr,2,7.93,failure
silicon,sequences/0286.vpr,3,7.88,failure
silicon,sequences/0286.vpr,4,8.60,failure
silicon,sequences/0286.vpr,5,8.39,failure
em-fmf,sequences/0338.vpr,1,7.97,failure
em-fmf,sequences/0338.vpr,2,9.11,failure
em-fmf,sequences/0338.vpr,3,7.80,failure
em-fmf,sequences/0338.vpr,4,8.19,failure
em-fmf,sequences/0338.vpr,5,8.28,failure
silicon,sequences/0338.vpr,1,9.19,failure
silicon,sequences/0338.vpr,2,8.84,failure
silicon,sequences/0338.vpr,3,6.98,failure
silicon,sequences/0338.vpr,4,6.33,failure
silicon,sequences/0338.vpr,5,6.71,failure
em-fmf,sequences/0400.vpr,1,6.95,failure
em-fmf,sequences/0400.vpr,2,6.96,failure
em-fmf,sequences/0400.vpr,3,6.95,failure
em-fmf,sequences/0400.vpr,4,6.78,failure
em-fmf,sequences/0400.vpr,5,7.41,failure
silicon,sequences/0400.vpr,1,7.37,failure
silicon,sequences/0400.vpr,2,7.08,failure
silicon,sequences/0400.vpr,3,7.13,failure
silicon,sequences/0400.vpr,4,7.53,failure
silicon,sequences/0400.vpr,5,6.96,failure
em-fmf,sequences/0464.vpr,1,5.69,success
em-fmf,sequences/0464.vpr,2,5.93,success
em-fmf,sequences/0464.vpr,3,5.90,success
em-fmf,sequences/0464.vpr,4,7.18,success
em-fmf,sequences/0464.vpr,5,6.26,success
silicon,sequences/0464.vpr,1,6.38,success
silicon,sequences/0464.vpr,2,6.26,success
silicon,sequences/0464.vpr,3,6.38,success
silicon,sequences/0464.vpr,4,6.32,success
silicon,sequences/0464.vpr,5,6.10,success
em-fmf,sequences/0465.vpr,1,6.88,success
em-fmf,sequences/0465.vpr,2,7.14,success
em-fmf,sequences/0465.vpr,3,7.16,success
em-fmf,sequences/0465.vpr,4,6.52,success
em-fmf,sequences/0465.vpr,5,6.25,success
silicon,sequences/0465.vpr,1,6.47,success
silicon,sequences/0465.vpr,2,7.05,success
silicon,sequences/0465.vpr,3,7.60,success
silicon,sequences/0465.vpr,4,9.10,success
silicon,sequences/0465.vpr,5,8.57,success
em-fmf,sequences/binary-search-seq.vpr,1,12.29,success
em-fmf,sequences/binary-search-seq.vpr,2,11.71,success
em-fmf,sequences/binary-search-seq.vpr,3,12.45,success
em-fmf,sequences/binary-search-seq.vpr,4,9.83,success
em-fmf,sequences/binary-search-seq.vpr,5,9.93,success
silicon,sequences/binary-search-seq.vpr,1,7.89,success
silicon,sequences/binary-search-seq.vpr,2,8.03,success
silicon,sequences/binary-search-seq.vpr,3,7.36,success
silicon,sequences/binary-search-seq.vpr,4,8.65,success
silicon,sequences/binary-search-seq.vpr,5,7.42,success
em-fmf,sequences/binarySearchSeq.vpr,1,9.41,success
em-fmf,sequences/binarySearchSeq.vpr,2,10.76,success
em-fmf,sequences/binarySearchSeq.vpr,3,11.12,success
em-fmf,sequences/binarySearchSeq.vpr,4,10.66,success
em-fmf,sequences/binarySearchSeq.vpr,5,11.65,success
silicon,sequences/binarySearchSeq.vpr,1,10.47,success
silicon,sequences/binarySearchSeq.vpr,2,8.63,success
silicon,sequences/binarySearchSeq.vpr,3,7.61,success
silicon,sequences/binarySearchSeq.vpr,4,7.42,success
silicon,sequences/binarySearchSeq.vpr,5,7.99,success
em-fmf,sequences/binary_search.vpr,1,9.94,success
em-fmf,sequences/binary_search.vpr,2,9.54,success
em-fmf,sequences/binary_search.vpr,3,9.54,success
em-fmf,sequences/binary_search.vpr,4,10.41,success
em-fmf,sequences/binary_search.vpr,5,9.59,success
silicon,sequences/binary_search.vpr,1,7.42,success
silicon,sequences/binary_search.vpr,2,7.89,success
silicon,sequences/binary_search.vpr,3,7.03,success
silicon,sequences/binary_search.vpr,4,6.83,success
silicon,sequences/binary_search.vpr,5,7.18,success
em-fmf,sequences/coins.vpr,1,3.75,failure
em-fmf,sequences/coins.vpr,2,3.21,failure
em-fmf,sequences/coins.vpr,3,3.19,failure
em-fmf,sequences/coins.vpr,4,3.26,failure
